label,tweet,sentiment
love,kenapa pasangan seringkali diibaratkan sebagai rumah karena rasa nyaman bersamanya senyaman berada di rumah kamu bisa jadi apa saja kamu selalu pulang menujunya,pos
fear,ya tau kalo rasa sakit hati memamg sulit tapi ada kala nya saat di jenjang rumah tangga [not] lah di publikan situasi saat ini media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata,neg
happy,ponakan kls si [neg] lagi demen menonton video tutorial masak craft youtube gue kls si [neg] sudah baca novel2 marga t amp mira gue minjem punya sepupu,pos
happy,bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat sampailah suaminya itu dpet pangkat yang tinggi kurang paham juga tentang pangkat2an di tni pokoknya sudah hidup bekecukupan,pos
sadness, [not] [not] mendukung atau mendoakan cuma menyikapi apa yang sudah2 itu pilihanmu dan berupayalah mempertahankannya disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar seperti saat kala itu menerima undangan pernikahanmu,neg
happy,jne jnt selama saya pakai entah kirim paket beli olshop jastip dari luar kota sampai beda pulau maksimal hari sampai mau itu dia pakai mobil susah cari alamat bingung enggak bisa masuk kompleks gang meski malam sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan baik,pos
fear,apa hukumnya bermain musik stad jelas haroooom hukumnya berdosa kita memainkannya begitulah kira kira percakapan yang terjadi antara penanya dan seorang ustad disebuah acara tv yang intronya pakai musik,neg
sadness,oh iya ibu nya melahirkan anak ke yaitu cewek tapi enggak tahu tahun berapa2 nya lanjut yang tadi baru saja setahun di kasih kenikmatan datang lagi ujian buat sih makmak kali ini mungkin berat dia di tinggal suaminya meninggal seketika ibu itu jadi singel parent,neg
happy,saja suka twitter soalny perempuan ji semua temanku disini biar mengomel sampai tablengker ndada bahayanya bahas monsteration juga bebas bahas indak puasa juga bebas di wa mau update status streskan monsteration kita harus tapi dulu blok semua cowok baru mengupdate,pos
love,ku rindu bisik mu di telingaku seraya kau berkata semoga kelak kau menjadi anak yang berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu,pos
fear,nah yang saya [not] utkan itu mas nanti di tumpangi politik dibalut agama itu yang bahaya soale masyarakat kita sedang sensitif dengan hal tersebut,neg
sadness,mau cerita kesiapa kalau sudah kayak begini hancur hidup ini pikirin dong bagaimana hati ku aku sedih aku menangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw,neg
sadness,setelah 20hari puasa dan saur enggak pernah kesiangan akhirnya di hari ke21 merasai makan saur supeerrr dupeerr ekspress 1menit se [not] imsak baru bangun yassalaaam,neg
fear,jadi ada thr tapi dari apbd yang punya kuasa [not] ut kalau kalau di garis bawahi sama kpk dan jadilah mereka ggl dapat thr tahun ini kok bisa begitu ya buk mentri bilang aman yang lain ketakutan,neg
sadness,merasa oon ketika tahu sesuatu dan [not] boleh di bicarakan ke orang lain nah kelalaian malah sebaliknya jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi,neg
happy,kalau tau ada libur panjang selain lebaran tuh rasanya pengin cepat gendong cerrier pakai sepatu terus pergi ketemu alam dan berdamai dengannya,pos
happy,btw doa restu orang tua itu memang gilingan ya pas sudah mentok mencari literatur tambahan nemu saja dong di rumah padahal dari kemarin sudah panik kudu mesen dari banyumas apakah ini berkah ramadan [url],pos
fear,dari pagi merasai sakit perut mengira mau haid sudah beli kiranti pas di cek malah kagak ada plis atulah haid sekarang saja biar bisa ikut solat ied,neg
sadness,turut berduka cita buat kawan a cak semoga keluarga yang di tinggalkan a bisa di beri kesabaran amp meridoi kepergian almarhum,neg
sadness,salah satu efek merapi sama bom bagi orang yang mau bikin event negara lain [not] ut ke jogja dan indonesia karena jadi aku lagi ada event internasional dan beberapa negara [not] konfirmasi karena [not] ut sama merapi sama teror juga moga merapi lekas reda [pos] moga enggak ada bom lagi,neg
sadness,lagi puasa tapi dari pagi sudah kesana kemari mmbawa alamat eh ayuting2 kalee enggk ding ini kenapa siang2 tetangga sebelah goreng telur ya kan baunya sampai hidung gue hikss piye sih mbak,neg
fear,ini pas banget gue habis baca buku ada bule pdkt bilang carikan rumah sama mobil dicariin mobil sama rumah mewah sih bule ok dan niat kirim uang sekitar 100jt tapi pakai pos bilang sama hadiah lain tapi enggak masuk akal kirim yang sebanyak itu pakai pos [url],neg
sadness,niat ke masjid sholat nya di lantai berharap bisa obob manjah karena biasanya enggak banyak yang solat disini fact fullhouse mpe shaf belakang bhay,neg
happy,paling excited kalo mengobrol sama orang kreatif siap saja kalo bakal tercengang sama ide mereka yang mungkin [not] pernah terpikirkan olehmu oh iya kenapa aku baru kepikiran,pos
happy,tiada henti 2ny ku mengucap syukut alhmdllh sekarang aku bisa uang jadi panitia kemarin alhmdllh trmkah kau bri brlmpah mski [not] sbrpa inysllh lma2 mmbukit amn [url],pos
sadness,ketika di group keluarga sudah pada mengomongkan mudik duuh pengin mudik tapi apa daya suami libur cuma hari dari hari h lebaran itu juga kalo enggak di telpon disuruh masuk tahun lalu malah habis sholat eid langsung kerja,neg
sadness,orang yang pernah kalah dalam pertarungan politik sulit untuk bisa disembuhkan karena mereka [not] bisa meraih impian dan sudah kehilangan banyak harta,neg
sadness,nggada sinyal di rumah membuatku banyak berpikir berpikir doang tapi pikiran ke mana mana random tapi pasti ada dia [neg],neg
fear,ada khabar kasus tuduhan chat mesum terhadap imam besar habib rizieq sudah dihentikan mohon bantu doa semoga benar adanya semoga kesucian ramadhan membuka mata hati bapak2 kita yang menyidik amin,neg
fear, [not] ngecengin gua lagi ya gaes [username] [username] [username] orang ini sudah ada blog nya juga ya walaupun nulisnya enggak jam dinihari sih,neg
love,halohaa selamat siang denise sudah pulang sekolah [not] nih [not] lupa makan siang ya oh iya bagaimana sudah sehatan kan kamu kalo memang masih kurang sehat ya membanyaki istirahat saja sekarang kakak selalu menunggu kok tweet dari ke,pos
fear,mudah-mudahan sudah terupload semua se [not] saja mudik karena fan modal quota pun butuh daerah dengan jaringan yang bagus hiksss hitungan jam juga baru slsi kalo saja mau donlot ini di rumahku tapi,neg
happy,alhamdulillah prof setelah berbicara semalam di [username] adem rasanya semoga membawa keberkahan amin ya rabbal aalamiin,pos
happy,keren kira kira masih ada enggak yang bilang pak [username] anti islam triliun hektar jadi kampus rujukan islam dunia sekelas al azhar [not] lagi proyek ponpes madrasah masjid dan fasilitas ummat lain kalo ada yang masih bilang beliau an,pos
fear,kalo sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan kalo kebiasaan buruk mungkin sulit ya karena semacam sudah jadi hobi begitu enggak sih,neg
fear,berdesakan bejubelan di krl adalah salah satu godaan dalam berpuasa apalagi di depan nya ada wanita cantik sambil ngunyah tahu gejrot hehe,neg
happy,happy birthday tapi us [username] and happy 6th anniv wkwkwk bentar lagi kita putus huhu aku harus cari pacar baru [pos] [url],pos
fear,terus baca komen2nya pada bilang kalo musik itu haram dan bla bla nah disini aku tau kalo fanatik kan memang gaboleh tapi kalau sekedar suka begitu bagaimana,neg
happy,rabu anakbujangku selesai menempuh pendidikan di [not] bhakti ibu bakauheni eit ternyata ia dapat piala juga hehehe,pos
happy,bersama segenap dewan guru terimakasih telah membimbing anak kami selama ini bu semoga ibu ibu semua dimudahkan segala urusannya dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu selamanya [url],pos
sadness,bagi anda anda yang dianugerahi gigi rapi dari lahir bersyukurlah karena pakai behel ternyata lebih sakit daripada sakit hati,neg
happy,alhamdulillah pie di rsup kariadi ini benar-benar diurus jadi sudah enggak panas tinggi lagi soalnya langsung dikasih paracetamol yang botolan,pos
fear,baru ngerusuh di balai desa terus pas mau pulang tadi bu lurah bertanya mbak ulfah itu temannya yang satu ke mana sih kok indak kelihatan hah teman saya buk [neg] bu lurah iya yang biasa bareng dari senin indak berangkat lho wait dari senin,neg
fear,mbak pps tuh pasti ada apa apa mbak ulfa juga pasti merasa ini kok enggak ada sebentar sebentar dia kenapa lagi sih dari senin enggak berangkat [neg] bikin khawatir saja t t,neg
sadness,lu ngapa sih galau mulu [neg] lu kalo galau banyak diam kalau lagi senang enggak bisa diam mangat dong kak nanas senang itu bisa nularin ke orang-orang loh [neg] wkwk,neg
happy,sebentar lagi ketemu krucil krucil ponakan yang menggemaskan banget suka nya meminta main berantem beranteman seru sih meskipun ya resiko pada pegel pegel nantinya sedikit sedikit sambil mengajari berhitung agar lagi nanti pas masuk sekolah,pos
fear,eh tapi numbuhin brewok juga buat menyenangkan diri sendiri sih compliment dari sesama cowok bonus lah tapi enggak dirawat dikit langsung tumbuh liar atau gatel banget,neg
sadness,ada anak sama habis perpisahan atau semacam wisuda sekolah foto bareng sama teman temannya sejawat dengan pakai kebaya lalu di post di ig dengan caption nanti siapa ya yang bakal nikah duluan ku langsung tertunduk lesu dan seraya ingin minum extra joss cuk,neg
happy,awak sih jadi orang slow mau di omongkan a tapi saja asal ale banyak makan enggak cranky berat naik sudah bahagia masalah apapun jadi kayak enggak ada ibu-ibu banget sih sekarang,pos
fear,perginya diantar sama teman enggak bawa hp sudah janjian biar dijemput jam setengah karena sayanya ketiduran dan yang jemput enggak nongol2 bingung mau bagaimana akhirnya jalan kaki kamu siang bolong ngeri kali lah vanashh syekaleh vemirsyahh,neg
sadness,iya kamu laki laki sang pengambil keputusan tapi kan aku juga ingin dianggap diajak berdiskusi dimintai pendapat diajak mencari jalan keluar atau sekadar ditenangkan kecemasannya aku ini ada [not] hidup sendiri [username],neg
sadness,akhirnya ingin berkata juga aku enggak mau sakit kenapa migrain ini harus datang saat lagi byk2nya masalah yang membutuhkan tenaga mikir apalagi bentar lagi harus mudik ya allah kenapa coba,neg
happy,pengin cerita dari kemarin enggak sempat beberapa hari yang lalu tarawih di masjid enggak konsen banget posisi lagi apes bagaimana enggak posisi solat di shaf depan ada mas2 pakai sarung terus sarung nya menjiplak pantatnya pas banget ketat kampret pengin mengakak tapi lagi solat syit,pos
happy,congratulation [username] semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung [username] break a leg [url],pos
fear,enggak jamin deh tapi gemana pak police [username] siap enggak kerja [not] pungli dan sejenisnya korup pungli itu bagai addicted sekali mencoba keenakan menambah lagi deh,neg
sadness,sudah semingguan enggak ada kabar wkwkwkwk akunya sibuk mengurus rapot sama ijazah anak [neg] terus enggak bertanya kabarnya dia juga selama seminggu sahabat macam apa kamu [neg],neg
sadness,haaaa syabar saja beloman waktunya buat ikutttt pemerintah ajanihhh yang ketumbenan mengasih liburnya kepanjangaaannnnnn [neg],neg
happy,mengapai pada rame mikir mencari baju lebaran memang harus ya kalau aku mah tiap hari pakai baju lebaran soalnya kalo pakai baju sempitan ngaaap,pos
happy,lewat tengah hari semoga harimu menyenangkan ya yuk semangat,pos
sadness,gue itu biasa beli shopee pakai atm manual asal cocok jumlahnya di verifikasi otomatis eh ini keenakan jadi teledor pakai akun sepupu gue malah enggak otomatis pesanannnya kecancel ya allah malih gue kapan ya berenti goblok,neg
sadness,kayanya gue kalo shopee memang [not] nitip akun orang deh mau irit ongkir apa bagaimana dulu nitip firsta pesan lenti donghan yang datang boneka pokemon,neg
happy,terima kasih teman-teman hmj d3 keperawatan stikes al irsyad cilacap sudah berbagi kebahagiaan bersama mbah kakung dan mbah putri [username] [url],pos
sadness,gue enggak suka enggak senang sama yang namanya maling cuma gue juga enggak senang kalau maling digebukin sampai bonyok banget apalagi sampai dibakar dan dibunuh,neg
happy,sebagai supporter [username] gue enggak suka barca tapi sebagai pecinta sepakbola gue suka ini film keren lah [url],pos
happy,kok sih drummer ini lucu sih mukanya kayak tengil tapi menggemaskan terus mulai dibiasin sereceh itu gue punya bias,pos
sadness,macet parah di kemang disebelah mobil gue terparkir gerobak mie ayam yang luar biasa menggugah selera padahal baru melihat gerobaknya doang,neg
happy,hbd my lovely wife amie amoy wish lu all the best semoga selalu berada didalam perlindungan swt panjang umur senantiasa bahagia bersama keluarga dan kerabat sehat selalu semakin banyak rejeki dan selalu menjadi wanita yang hebat bagi keluarga amin [url],pos
fear, [not] di viralkan entar oposisi yang biasa nyinyir kejang2 sakit jantung kalau sakit hatinya memang sudah kronis sulit untuk disembuhkan,neg
happy,mengakak ane lihatnya wkwk,pos
sadness,teman nya laki gue almarhumah tahu meninggal waktu pada hidup ngintil saja kmna laki alh gue mlangkah ngikut suka nlpon nelpn kekantor perpan [not] katakata nya suamiku almarhumah waktu jatuh cinta ksian enggak bisa dtang di rmah duka rs husada orang nya senang ketawa comblang laki ku hdhhh sedih,neg
sadness,woah buat urusan difitnah dimusuhin dibikin enggak mau sekolah gara-gara enggak ada yang mau berteman trauma setiap minggu malam karena be [not] paginya sekolah dibikin malu didepan banyak orang aku sudah melewati itu semua,neg
sadness,rencana enggak pulang mau garap project ternyata enggak tersentuh sama sekali tau begini mah pulang weh dari minggu kemarin hm hikmah ramadhan mungkin memang perlu melewati ini ya buat belajar saja,neg
sadness,menurut dia tindakan itu [not] pelecehan seksual benar kan kata gue ilmunya pada enggak dapat jadi enggak mengerti deh apa apa saja yang termasuk pelecehan sexual [url],neg
sadness,ada mama murid yang rikues anaknya masuk di kelas saya di saat yang sama banyak murid yang hopeless ketika tau bakal masuk di kelas saya karena rumor yang beredar saya guru galak,neg
sadness,siapa yang melakukan itu ke aku ya teman teman yang mostly adalah perempuan juga sudah enggak heran melihat perempuan dijahatin sesama perempuan aku pun mengalami,neg
fear,tapi sekarang ini entah sejak kapan pemikiran gue berubah kalo gue kepikiran untuk share hal yang gila gue akan pikir 1000x untuk tulis di twitter ig kenapa jempol netizen [not] bisa dikalahkan,neg
fear,jadi kayak kebalik begitu dulu socmed jadi escape buat gue ekspresiin kegilaan sekarang berhubung socmed jadi lebih seram dari dunia nyata eh jadi dunia nyata yang gue jadikan escape dari socmed,neg
happy,ku sadari satu pilihan ku bersamamu di tempat ini jalani hari dengan semangat yang baru walau [not] seindah yang ku harapkan [not] seburuk yang ku bayangkan ku tetap berdiri jalani hari penuh warna yang mengerti pasti pada nyanyi,pos
sadness,dukaku karena [not] mampu katakan sedih ku karena sakit ku emot mekkel sip,neg
sadness,wib saya benar benar kehilangan so [not] laki laki yang merawat saya dari kecil mendidik saya merawat saya melindungi saya dan saya benar benar kehilangan semoga tenang disana semoga anakmu ini bisa menjadi anak yang berguna,neg
sadness,video yang diatas yang tulisannya dulu itu pas kapan di ilc juga ya bahas tentang apa itu iya kecewa sama pak mahfud,neg
happy,baca buku ini diawal senyum ditengah tengah senyum miris diakhir senyum pasrah nuhun bung [username],pos
fear,itulah pentingnya materi kode etik diajarkan sejak sd atau minimal ilmu ilmu dasar untuk berbuat baik sopan teratur lah kalo enggak ya jadinya kayak begitu bablas enggak peka keadaan gue lupa dulu bk atau pkn atau sosum bahas apaan ya ada sih kesananya tapi enggak khusus jadi enggak ngena,neg
happy,namanya anis sudah kelar s1 walopun [not] official lagi dalam masa bahagia banget karena sudah lulus tapi masih sendiri ya kali ada yang terpesona,pos
fear,mbak bulan oh mbak bulan datangnya sekarang saja ya [not] tanggal seperti biasanya kalo kamu datang seperti biasanya nanti kemungkinan ikut sholat iednya mbak bul,neg
happy,keambian siang ini buka situs online trading sekuritas lihat indeks saham warna warni terus klik klik cantik bego ke klik tombol buy submit and success,pos
happy,cont belajar prinsip memegang prinsip lebih teguuhh karena godaan yang bikin goyah integritas ternyata banyak lur senang bisa berteman dengan banyak tipe menghargai belajar lebih dewasa enggak gampang pundung bahagia disetiap keadaan wkw karakteristik belajar memahami,pos
happy,orang datang ke kandang pakaiannya sederhana cuma kaos oblong dan celana training mau juga keliling kandang buat memilih sapi tapi sekali transaksi mencapai sama yang epic lagi beliau orangnya taat ibadah dan royal punya anak masih gadis enggak pak,pos
happy,gara-gara [username] jadi googling berita ini tapi [not] ada yang confirm duh menanti berita ini benar pasangan favorite ku dari jaman dahulu kala [url],pos
love,baru lihat dan benar benar mendengarkan secara seksama nissa dengan sabyan nya yang lagi naik daun itu asli enggak ada rusak rusaknya itu suara flawless bening benerrr kayak gelas beling habis dicuci pakai si unlight jadi bersih bersinar begitu deh heran,pos
sadness,innalillahi wa inna ilaihi rajiun kabar duka kembali menyelimuti aceh pewaris kesultanan aceh teungku putro safiatuddin cahya nur alam dikabarkan meninggal dunia di kota mataram nusa tenggara barat ntb rabu sekira pukul wita [url],neg
sadness,yang pengin s2 tapi terasa sulit sekali menggapainya yang sudah dapat anugerah jalan mudah untuk s2 malah enggak mau ya allah kok begini dunia ini engkau ciptakan,neg
sadness,langsung ku block saja ya maaf nih bagi teman teman yang sudah memilih jalan sendiri setidaknya [not] lah kayak begitu kita ada jalan masing masing loh jujur sedih aku lihat alat musik di hancurkan begitu,neg
fear,bukannya bersimpati aku lihat akun kayak begitu malah jadi seram malah jadi [not] ut soalnya videonya dia menghancurkan dengan cara brutal dengan cara pakai kampak terus di posting begitu sedih kali loh lihatnya,neg
happy,lagi sibuk ngedit konten di ruang tunggu tapi kok sekumpulan nenek didepan saya seru banget ya mereka lagi ghibah ternyata hal ini menunjukkan bahwa kapanpun dan dimanapun ghibah itu asik,pos
happy,main di brawl langsung saja chang e memimpin top kill dengan mvp sekaligus memang ini hero ggwp hero baru di normal server ini top lah lebih top soalnya hero mage adalah role kesukaan saya selain hero tank sukanya di skill nya itu loh buff lagi deh [url],pos
love,ada waktunya sayang berubah jadi butuh perhatian berubah jadi pengertian percaya berubah jadi yakin itu semua akan terjadi kalau kamu dan dia saling melengkapi [not] mencari kurang [not] mencari salah [not] mencari yang lebih,pos
sadness,anak jaman now enggak tau kalo dulu mau testimonial dibalesnya seminggu mana harus bikin url [neg] sekarang pdkt tinggal match no match di kinder senang,neg
sadness,ijazah mendadak nyelip itu langsung tiba-tiba terbayang perjuangan dikampus penelitian skripsi deh el el memang ya kudu enggak ada dulu baru berasa,neg
sadness,kadang pengin begitu balik lagi jadi anak sd pulang sekolah tidur siang bangun2 main harvest moon pepsi man sampai [url] memikirkan ina inu,neg
sadness,kasihan karyawan bapakku ini mau lebaran malah jatuh sakit dan masuk rumah dan sekarang mudik terlalu cepat ke kampung halaman gusti allah kadang memberikan hal yang [not] terpikirkan oleh manusia sebagai manusia ya cuma bisa menerima,neg
sadness,kehilangan lagi salah satu karyawan dan tepat se [not] lebaran kembali lagi aku dipusingkan untuk mencari penggantinya karena mencari karywan di pabrik tahu susah dibandingkan mencari orang untuk jadi tukang parkir,neg
happy,masih [not] terbiasa dengan twitt mereka pakai english but thank you [username] for memakai itu easier tapi watching them [url],pos
happy,[username] [username] [username] terima kasih sudah tertawa semoga menjadi amal soleh dibulan mulia bisa membuat sesama hambanya ketawa bahagia,pos
happy,antri di bank situasyen mbak dapat nomor antrian berapa buk ini ambil saja nomor antrian biar cepat [neg] dalamhati rejeki anak baik,pos
sadness,banyak sekali mualaf yang baru belajar islam tahun tapi ilmu agamanya sudah luar biasa tapi saya yang dari kecil muslim ilmu agamanya jauuh banget ya ini namanya malu banget,neg
sadness,walopun lebaran masih lama nuansa maaf memaafkan sudah menyebar kemana2 tadi ke atm katanya maaf saldo anda [not] mencukupi gue coba telfon teman eh operator juga meminta maaf katanya maaf pulsa anda [not] cukup untuk melakukan panggilan ini,neg
sadness,berharap aku ke dokter dksh salep buat yang lebam2 biru eh malah dkshnya obat nyeri tablet vitamin padahal tensi darah aku normal tetap saja salep mah enggak dksh sama dokternya,neg
sadness,andai id my [not] yah guna pasport malam nih saya dah sampai my lagi itulah hidup selalu dihadapkan dengan pilihan mau [not] mau salah satu harus direlakan,neg
sadness,sebenarnya teknik lumayan tapi aneh banget pas di inter passing sering salah dribbling enggak bagus crossing enggak bagus keypass awal-awal saja selanjutnya ketebak what a waste of skill,neg
fear,kalo ada yang menganggap big is beauty terus kami mikir big is awal mula berbagai penyakit sah sah saja lah kalo tersinggung [not] [not] memang enggak yakin sama kepercayaannya mau setuju tapi sudah terlanjur,neg
happy,demi apa kalau gue punya pc ban agus gue trade langsung nih sama sih mas,pos
happy,[username] selamat ultah kak renoo wkwkw semoga kita bisa dipertemukan lagi di satu kelompok kalo sama reno gppa deh semoga bahagia dan sejahtera selalu bersama dek oza hehehe,pos
happy,congratulations on your 1st holly communion xellent mommy papa ompung unty tulang bou sudah xaviera are [not] happy tapi be able tapi witness and accompany you on this special day semoga xellent tumbuh mjd anak yang menyenangkan hati tuhan menjadi saluran berkat bagi banyak orang [url],pos
sadness,gapapaaaa gue sudah berusaha untuk se [not] lebaran dari kapan tau tapi dospem malah ke luar negeri pas tanggal tanggal sidang [pos] kering sudah air mata ini,neg
sadness,ini case yang kedua sebelumnya saya sempat kena tipu dan account saldo gopay saya hangus [username] perlu ada peningkatan security lagi supaya enggak kejadian terus seperti ini,neg
happy,yeeeaaayyy siap2 buat lebaran buat mamak klaten alhamdulillah swiss belboutique yogyakarta ini gondokusuman daerah istimewa yogyakarta,pos
sadness,diminta teman bantuin bungkus kado untuk istrinya sebagai hadiah ultah pernikahan terus disuruh juga sekalian selipkan quote romantis saya ahlinya katanya dalam hati meringis tau [pos],neg
happy,buat hiburan baca ini deh terus lanjut baca twit2 receh di ternyata hidupque [not] lebih dari remah rangginang macam manusia yang makan di kiefsi doang oge meni hayang pamer di story hahaha aque maloo [username] [username] [url],pos
happy,kita yang [not] punya apa apa dan [not] seberapa ini disapa sobat misquen asik asik saja malah nyala balek damai segampang itu ya hebat uiy,pos
happy,nongkrong depan rumah sama teman-teman tiap ada motor lewat di teriakin woy standaar pas orangnya menengok kita sembunyi,pos
fear,[username] [username] sama seperti yazidi bila negara yahudi [not] memperkuat dirinya pilihan itu ganti agama dibunuh diperbudak atau tersingkir maka penting bagi yahudi memperkuat dirinya suka atau [not] ini survival bang mereka tapi mereka [not] ,neg
sadness,[username] ya bagaimana ya lin coba deh mbok pikir saja kamu sbnre masih sayang banget sama mantanmu terus dia juga sampai dtk ini masih memperlakukan kamu sama seperti pas dia masih jadi pacar mu kan jadi memupuk rasa lagi nek begitu [neg],neg
fear,coba tanya [username] apakah market mampu memprediksi kondisi ekonomi kedepan dari kondisi politik saat itu isu2 pasti sudah ada entah siapapun,neg
sadness,saking sibuknya aku lupa jam mv rilis iya sibuk sibuk mencari kesi [not] sambil baca ebook heran accounting apaan awal bulan enggak ada pekerjaan,neg
sadness,waktu terasa lamban berjalan di teriknya siang perut yang menahan walau diizinkan makan begini banget ya enggak puasa serasa lebih dari puasa sahur enggak teman kantor puasa semua,neg
happy,pertama kami meminta izin untuk berbincang beliau menjawabnya dengan senyum cerah namun berwibawa iya mbak bagaimana coba cerita dulu begitu kira kira ucapnya drngan ramah lalu aku dan temanku bercerita panjang lebar tentang tiket jadwal uas reschedule semua,pos
happy,mencari capung bareng teman pakai sapu dapat capung capungnya ditusukkan ke lidi lalu dibakar rame rame dan dimakan katanya bikin sehat,pos
sadness,dulu jaman putih abu abu rasanya ngebet banget pengin cepat kuliah eh sekarang pas sudah kuliah mikir berat rasanya jadi ngebet pengin nikah,neg
happy,beliau disana mendengarkan sembari tersenyum sesekali cerita kami terpotong oleh orang orang yang keluar masuk meminta tanda tangannya sampai kemudian berujung pada satu inti boleh [not] pak kita berdua ujian duluan dan beliau tertawa tapi masih berwibawa dan teduh,pos
happy,bangun tidur dapat kabar teman diterima kerja saja aku sujud syukur senang banget enggak tau lebay atau apa ya [neg] bep mencari kerja itu iya sesusah itu [neg] imma proud friend,pos
happy,kepada jamaah masjid al kautsar dikarenakan nasi tumpeng ayam matang se [not] waktunya maka dengan ini pengajian tafsir masjid al kautsar di ajukan hari ini aya aya wae berkah,pos
fear,ini komprenya perkelompok satu jam kah asaan yang kelompok minggu kemarin maju katanya cuma sebentar gasampe setengah jam lah ini sudah mau satu jam bikin degdegan woii,neg
happy,terima kasih juga buat teman-teman basis [username] yang sudah bersedia meluangkan waktunya untuk menjadi panitia semoga allah swt senantiasa memberikan rezeki yang halal dan berkah untuk kita semua amin,pos
happy,kita mencocokkan jadwal setelahnya be [not] ujian jam meminta soalnya ke mbak yuyun ya kata beliau alhamdulillah ya allah leganya indak perlu reschedule [pos] saat sudah fix kita keluar lalu salim tangan sih bapak berterimakasih bangetlah ini,pos
sadness,percayalah dik [not] ada yang lebih sakit selain lupa bawa kacamata saat di perpustakaan menempel menempel deh muka gue ke monitor [url],neg
sadness,tadi pagi menonton infotainment sebelom brkt gawe kris hatta saya saja yang ganteng ditinggalin sama hilda apalagi bang billy yang enggak ganteng gue astagfirullah ngelus dada,neg
