,label,tweet,sentiment
10,happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,pos
11,sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",neg
12,love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,pos
13,happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",pos
14,fear,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,neg
15,fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,neg
16,sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],neg
17,happy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",pos
18,love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ",pos
19,fear,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata",neg
20,happy,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,pos
21,happy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,pos
22,sadness,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",neg
23,happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,pos
24,fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,neg
25,sadness,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",neg
26,happy,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,pos
27,love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".",pos
28,fear,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.",neg
29,sadness,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",neg
30,sadness,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",neg
31,fear,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.",neg
32,sadness,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",neg
33,happy,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,",pos
34,happy,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]",pos
35,fear,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ",neg
36,sadness, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,neg
37,sadness,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,neg
38,sadness,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",neg
39,fear,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],neg
40,sadness,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,neg
41,happy,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",pos
42,happy,Tiada henti 2ny q mengucap syukut alhmdllh.... Skrg aku bsa.... Uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah.... Mski tak sbrpa inysllh lma2 mmbukit amn [URL],pos
43,sadness,Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja ,neg
44,sadness,Orang yg pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tdk bs meraih impian dan sdh kehilangan banyak Harta.,neg
45,sadness,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :(",neg
46,fear,"Ada khabar kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sdh dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yg menyidik.amin",neg
47,fear,"Jangan ngecengin gua lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini udah ada blog-nya juga.. ..ya walaupun nulisnya nggak jam 2 dinihari sih.",neg
48,love,"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k",pos
49,fear,Mudah2an sudah terupload smua sebelum z mudik Karna fans modal quota pun butuh daerah dengan jaringan yang bagus.. hiksss Hitungan jam juga br slsi kalo z mo donlot ini di rumahku pi ,neg
50,happy,"Alhamdulillah Prof, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. Aamiin Yaa Rabbal 'Aalamiin.",pos
51,happy,"Keren!! Kira-kira masih ada nggak yg bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas ummat lain. Kl ada yg masih bilang Beliau an",pos
52,fear,"kalo sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan. kalo kebiasaan buruk mungkin sulit ya? karena semacam udah jadi hobi, gitu ga sih?",neg
53,fear," berdesakan..bejubelan, di kRL adalah salah satu godaan dalam berpuasa.....apalagi d dpn nya ada wanita cantik sambil ngunyah tahu gejrot...hehe..",neg
54,happy,Happy birthday to us [USERNAME] and happy 6th anniv wkwkwk Bentar lagi kita putus huhu aku harus cari pacar baru :3 [URL],pos
55,fear,Terus.. Baca komen2nya pada bilang kalo musik itu haram. Dan bla bla. Nah disini aku tau. Kalo fanatik kan emang gaboleh. Tp kalau sekedar suka gitu gimana?,neg
56,happy,"Rabu, 06-06-2018, anakbujangku selesai menempuh pendidikan di TK Bhakti Ibu, Bakauheni. Eit, ternyata ia dapat piala jugak hehehe",pos
57,happy,"Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]",pos
58,sadness,"Bagi anda anda yg dianugerahi gigi rapi dari lahir, bersyukurlah ! Karena pake behel ternyata lebih sakit daripada sakit hati. #menurutguesih",neg
59,happy," Alhamdulillah Pie,,di RSUP Kariadi ini bener2 diurus, jd sudah gak panas tinggi lg soalnya langsung dikasih Paracetamol yg botolan",pos
60,fear,"Baru 'ngerusuh' di balai desa Terus pas mau pulang tadi, bu lurah nanya, ""Mba Ulfah... itu temannya yang satu ke mana sih, kok ndak kelihatan?"" ""Hah? Teman saya buk? O.o"" Bu Lurah: ""Iya, yang biasa bareng, dari senin ndak berangkat lho."" WAIT, DARI SENIN????",neg
61,fear,"Mba PPS: ""Tuh, pasti ada apa-apa.... mba Ulfa juga pasti ngerasa ini kok ga ada."" ""....Sebentar, sebentar..."" DIA KENAPA LAGI SIH, DARI SENIN GA BERANGKAT :""( Bikin khawatir aja T.T",neg
62,sadness,"lu ngapa si galau mulu:( lu kalo galau banyak diem, kalau lg seneng gabisa diem. Mangat dong kak nanas seneng itu bisa nularin ke orang2 loh:( wkwk",neg
63,happy,"Sebentar lagi ketemu krucil-krucil ponakan yang gemesin banget, suka nya minta main berantem-beranteman. Seru sih meskipun ya resiko pada pegel-pegel nantinya, sedikit-sedikit sambil ngajarin berhitung agar #JadiLebihBaik lagi Nanti pas masuk sekolah",pos
64,fear,"Eh tapi numbuhin brewok juga buat nyenengin diri sendiri sih, compliment dari sesama cowok bonus lah. Tapi ga dirawat dikit langsung tumbuh liar atau gatel banget",neg
65,sadness,Ada anak sma habis perpisahan atau semacam wisuda sekolah. Foto bareng sama temen-temennya sejawat dgn pakai kebaya lalu di post di IG dengan caption 'Nanti siapa ya yang bakal nikah duluan'. Ku langsung tertunduk lesu dan seraya ingin minum extra joss. Cuk.,neg
66,happy,"Awak sih jd org slow, mau di omongin a to z asal ale bnyk makan, ngga cranky, berat naik udh bahagia. Mslh apapun jd kyk ngga ada. Ibu2 bgt sih skrg",pos
67,fear,"Perginya diantar sama teman, gak bawa HP. Udah janjian biar dijemput jam setengah 2. Krna sayanya ketiduran, dan yg jemput gak nongol2, bingung mau gmna. Akhirnya jalan kaki 2 km siang bolong. Ngeri kali lahh~~ vanashh syekaleh vemirsyahh",neg
68,sadness,"iya, kamu laki-laki, sang pengambil keputusan. tapi kan aku juga ingin dianggap, diajak berdiskusi, dimintai pendapat, diajak mencari jalan keluar, atau sekadar ditenangkan kecemasannya. aku ini ada. jangan hidup sendiri. [USERNAME]",neg
69,sadness,"Akhirnya ingin berkata juga, aku ga mau sakit, knp migrain ini harus dtg saat lagi byk2nya masalah yg membutuhkan tenaga mikir, apalagi bentar lg harus mudik. Ya Allah kenapa coba ",neg
70,happy,"Pengen cerita dari kemaren gak sempet. Beberapa hari yg lalu tarawih di masjid gak konsen banget posisi lagi apes. Gimana gak, posisi solat di shaf depan ada mas2 pake sarung trus sarung nya nyeplak pantatnya pas banget, ketat. Kampret, pen ngakak tp lagi solat. Syit.",pos
71,happy,Congratulation [USERNAME] semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung [USERNAME] Break a leg!!! [URL],pos
72,fear,"Gak jamin deh. Tapi gemana pak Police [USERNAME] , siap gak kerja tanpa pungli dan sejenisnya. Korup, pungli itu bagai addicted. Sekali nyoba, keenakan. Nambah lagi deh. #generasiantikorupsi",neg
73,sadness,"Udah semingguan ga ada kabar wkwkwkwk Akunya sibuk ngurus rapot sama ijazah anak :""( Terus ga nanya kabarnya dia juga selama seminggu Sahabat macam apa kamu :""(",neg
74,sadness,haaaa syabar ajaaa... beloman waktunya buat ikutttt... pemerintah ajanihhh yg ketumbenan ngasih liburnya kepanjangaaannnnnn :((((,neg
75,happy,"Ngapain pada rame mikir nyari baju lebaran, emang harus ya? Kalau aq mah tiap hari pake baju lebaran,.. Soalnya kl pake baju sempitan... Ngaaap.. #iyainajabiarcepet",pos
76,happy,"Lewat tengah hari, semoga harimu menyenangkan ya, yuk semangat!",pos
77,sadness,"Gw tu biasa beli shopee pake atm manual asal cocok jumlahnya di verifikasi otomatis, eh ini keenakan jadi teledor pake akun sepupu gw malah ga otomatis pesanannnya kecancel ya allah malih gw kapan ya berenti goblok",neg
78,sadness,"Kayanya gw kalo shopee emang jangan nitip akun orang deh, mo irit ongkir apa gmana, dulu nitip firsta pesen lenti donghan, yg datang boneka pokemon",neg
79,happy,Terima kasih temen2 HMJ D3 Keperawatan Stikes Al Irsyad Cilacap sudah berbagi kebahagiaan bersama mbah kakung dan mbah putri [USERNAME] [URL],pos
80,sadness,Gue nggak suka nggak seneng sama yang namanya maling. Cuma gue juga gak seneng kalau maling digebukin sampai bonyok banget apalagi sampai dibakar dan dibunuh.,neg
81,happy,"sebagai supporter [USERNAME] gue ga suka barca, tapi sebagai pecinta sepakbola gue suka ini film, keren lahhh  #HeartOfALio [URL]",pos
82,happy, Ko si drummer ini lucu sih mukanya. Kek tengil tapi ngegemesin. Terus mulai dibiasin. *sereceh itu gue punya bias.,pos
83,sadness,Macet parah di Kemang. Disebelah mobil gw terparkir gerobak mie ayam yang luar biasa menggugah selera. Padahal baru ngeliat gerobaknya doank.,neg
84,happy,"HBD my lovely wife Amie Amoy .... wish u all the best, ....semoga selalu berada didalam perlindungan  SWT, panjang umur, senantiasa bahagia bersama keluarga dan kerabat, sehat selalu, semakin banyak rejeki, dan selalu menjadi wanita yg hebat bagi keluarga.....Aamiin [URL]",pos
85,fear,Jangan di Viralkan ntar OPOSISI yang biasa nyinyir kejang2 sakit jantung. Kalau sakit Hatinya memang sdh Kronis sulit untuk disembuhkan,neg
86,happy,ngakak ane liatnya wkwk,pos
87,sadness,Tmn nya laki gw almh th Meninggal Waktu pda hidup Ngintil aja kmna laki alh gw mlangkah ngikut Suka nlpon nelpn kekantor Perpanjangan katakata nya suamiku almh waktu jatuh cinta Ksian gk bsa dtang di rmah duka rs husada Orang nya seneng ketawa Comblang laki ku Hdhhh sedih,neg
88,sadness,"Woah... buat urusan difitnah, dimusuhin, dibikin gamau sekolah gara2 gaada yg mau temenan, trauma setiap minggu malam karena besok paginya sekolah, dibikin malu didepan banyak orang. Aku sudah melewati itu semua.",neg
89,sadness,"Rencana gak pulang mau garap project, ternyata gak tersentuh sama sekali.. Tau gini mah, pulang weh dr minggu kemaren.. hm, hikmah ramadhan: mungkin emang perlu melewati ini, yah buat belajar aja",neg
90,sadness,"Menurut dia tindakan itu bukan pelecehan seksual? Bener kan kata gw, ilmunya pada ga dapet. Jadi ga ngerti deh apa apa aja yang termasuk pelecehan sexual [URL]",neg
91,sadness,Ada mama murid yang rikues anaknya masuk di kelas saya. Di saat yang sama banyak murid yang hopeless ketika tau bakal masuk di kelas saya karena rumor yang beredar saya guru galak,neg
92,sadness,"Siapa yg melakukan itu ke aku? Ya, teman-teman yg mostly adalah perempuan juga. Udah ga heran ngeliat perempuan dijahatin sesama perempuan. Aku pun mengalami",neg
93,fear,"Tapi sekarang ini, ntah sejak kapan, pemikiran gue berubah. Kalo gue kepikiran untuk share hal yg gila, gue akan pikir 1000x untuk tulis di twitter/IG. Kenapa? Jempol netizen tak bisa dikalahkan.",neg
94,fear,"Jd kaya kebalik gitu. Dulu socmed jd escape buat gue ekspresiin kegilaan. Skrg berhubung socmed jd lebih serem dr dunia nyata, eh jd dunia nyata yg gue jadiin escape dari socmed.",neg
95,happy,"Ku sadari satu pilihan ku bersamamu di tempat ini, jalani hari dengan semangat yang baru, walau tak seindah yg ku harapkan, tak seburuk yg ku bayangkan, ku tetap berdiri jalani hari penuh warna (yg ngerti pst pada nyanyi )",pos
96,sadness,Dukaku karna tak mampu katakan sedih ku karna sakit ku!! #iniserius #seriuscumatulisan #tulisandarilubuhhati #hatiyangcukupdalam #tapigakdalamdalambanget *emot mekkel sip*,neg
97,sadness,"13:23 WIB Saya benar benar kehilangan sosok laki laki yang merawat saya dari kecil, mendidik saya, merawat saya, melindungi saya, Dan saya benar benar kehilangan. Semoga tenang disana, semoga anakmu ini bisa menjadi anak yang berguna ",neg
98,sadness,"video yg diatas yg tulisannya ""dulu"" itu pas kapan? Di ILC jg ya? Bahas tentang apa itu? Iya kecewa sama Pak Mahfud. #IslamSelamatkanNegeri #SedihRasanya",neg
99,happy,"Baca buku ini diawal senyum, ditengah-tengah senyum miris, diakhir senyum pasrah. Nuhun bung [USERNAME]#bukugariswaktu #fiersabesari",pos
100,fear,"Itulah pentingnya materi kode etik diajarkan sejak SD, atau minimal ilmu ilmu dasar untuk berbuat baik, sopan, teratur. Lah kalo ga ya jadinya kaya gitu bablas, ga peka keadaan. gue lupa dulu BK, atau PKn atau SosUm bahas apaan, ya ada si kesananya tp ga khusus, jadi ga ngena",neg
101,happy,"namanya anis. udah kelar S1 walopun belom official. lagi dalam masa bahagia banget karna udah lulus, tapi masih sendiri. ya kali ada yang terpesona",pos
102,fear,"Mbak bulan oh mbak bulan, datangnya skrng aja ya, jangan tgl 9 seperti biasanya, kalo kamu datang sperti biasanya, nanti kemungkinan ikut sholat iednya 50:50 mbak bul,",neg
103,happy,"Keambian siang ini buka situs online trading sekuritas. Lihat indeks saham warna warni trus klik-klik cantik bego ke klik tombol buy, submit, and success.",pos
104,happy,"Cont' - Belajar prinsip. Memegang prinsip lebih teguuhh. Karena godaan yang bikin goyah integritas ternyata banyak lur - Seneng bisa berteman dengan banyak tipe, menghargai - Belajar lebih dewasa, ga gampang pundung. Bahagia disetiap keadaan wkw karakteristik. Belajar memahami",pos
105,happy,"Orang #OldMoney dateng ke kandang, pakaiannya sederhana, cuma kaos oblong dan celana training, mau juga keliling kandang buat milih sapi. Tapi sekali transaksi mencapai 3 M. Yang epic lagi, beliau orangnya taat ibadah dan royal. Punya anak masih gadis nga pak? ",pos
106,happy,Gara2 [USERNAME] jadi googling berita ini. Tp belum ada yg confirm. Duhhh menanti berita ini benar! Pasangan favorite ku dr jaman dahulu kala. [URL],pos
107,love,Baru liat dan bener-bener dengerin secara seksama nissa dengan sabyan nya yang lg naik daun itu. Asli ga ada rusak-rusaknya itu suara flawless bening benerrr kaya gelas beling abis dicuci pake s*unlight jadi bersih bersinar gitu deh. Heran.,pos
108,sadness,"Innalillahi wa inna ilaihi rajiun. Kabar duka kembali menyelimuti Aceh. Pewaris Kesultanan Aceh, Teungku Putro Safiatuddin Cahya Nur Alam dikabarkan meninggal dunia di Kota Mataram, Nusa Tenggara Barat (NTB), Rabu (6/6/2018) sekira pukul 06.45 WITA. [URL]",neg
109,sadness,"Yang pengen S2 tapi terasa sulit sekali menggapainya. Yang sudah dapat anugrah jalan mudah untuk S2 malah nggak mau. Ya Allah, kok begini dunia ini Engkau ciptakan?",neg
110,sadness,"langsung ku block aja ya, maaf ni bagi temen temen yang sudah memilih jalan sendiri setidaknya jangan lah kayak gitu, kita ada jalan masing masing loh, jujur sedih aku liat alat musik di hancurkan gitu.",neg
111,fear,"Bukannya bersimpati aku liat akun kayak gitu malah jadi serem, malah jadi takut soalnya videonya dia menghancurkan dengan cara brutal dengan cara pake kampak terus di posting gitu. Sedih kali loh liatnya.",neg
112,happy,"Lg sibuk ngedit konten di ruang tunggu tapi kok sekumpulan nenek"" didepan sy seru banget yah. Mereka lg ghibah ternyata. Hal ini menunjukkan bahwa kapanpun dan dimanapun, ghibah itu asik ",pos
113,happy,"#MobileLegendsBangBangID Main di BRAWL langsung saja ""CHANG'E"" memimpin top kill dengan MVP sekaligus emang ini Hero GGWP, Hero baru di normal server ini top lah lebih top soalnya Hero Mage adalah role kesukaan saya selain Hero Tank. Sukanya di skill-2 nya itu loh.. Buff lagi deh [URL]",pos
114,love,"Ada waktunya, sayang berubah jadi butuh. Perhatian berubah jadi pengertian. Percaya berubah jadi yakin. Itu semua akan terjadi kalau kamu dan dia saling melengkapi. Tidak mencari kurang. Tidak mencari salah. Tidak mencari yg lebih.",pos
115,sadness,Anak jaman now gatau kalo dulu mau testimonial dibalesnya seminggu mana harus bikin URL :(( skrg pdkt tinggal match no match di kinder senang #RecehkanTwitter,neg
116,sadness,"Ijazah mendadak nyelip tu, langsung tiba2 kebayang perjuangan dikampus, penelitian, skripsi, de el el. Emang ya kudu gak ada dulu, baru berasa.",neg
117,sadness,"Kadang pengen gitu balik lagi jadi anak sd,pulang sekolah tidur siang,bangun2 main harvest moon /pepsi man sampe [URL] mikirin ina inu.",neg
118,sadness,"Kasihan karyawan bapakku ini, mau lebaran malah jatuh sakit dan masuk rumah. Dan sekarang mudik terlalu cepat ke kampung halaman. Gusti Allah kadang memberikan hal yang tidak terpikirkan oleh manusia. Sebagai manusia ya cuma bisa menerima.",neg
119,sadness,"Kehilangan lagi salah satu karyawan, dan tepat sebelum lebaran. Kembali lagi aku dipusingkan untuk mencari penggantinya, karena mencari karywan di pabrik tahu susah dibandingkan nyari orang untuk jd tukang parkir.",neg
120,happy,Masih belum terbiasa dengan twitt mereka pake English But thank you [USERNAME] for make it easier to watching them  [URL],pos
121,happy,"[USERNAME] [USERNAME] [USERNAME] Terima kasih sudah tertawa semoga menjadi amal soleh dibulan mulia, bisa membuat sesama hambaNya ketawa bahagia",pos
122,happy,"Antri di bank situasyen: mbak dapet nomor antrian berapa ? 227 buk , ini ambil aja nomor antrian biar cepet ---200 *dalamhati* rejeki anak baik",pos
123,sadness,"Banyak sekali mualaf yang baru belajar Islam 1-3 tahun, tapi ilmu agamanya sudah luar biasa. Tapi saya yang dari kecil muslim, ilmu agamanya jauuh banget. Ya ini namanya malu.. banget!",neg
124,sadness,"Walopun lebaran msh lama nuansa maaf memaafkan sdh menyebar kemana2 .Td ke ATM,Katanya Maaf saldo anda tdk mencukupi. Gw coba telfon tmn ,eh operator jg minta maaf. Katanya Maaf pulsa anda tdk cukup utk melakukan panggilan ini #recehkantwitter",neg
125,sadness,Berharap aku ke dokter dksh salep bwt yg lebam2 biru..eehhh malah dkshnya obat nyeri tablet+vitamin  pdhl tensi darah aku normal 110/70..ttp aja salep mah gak dksh sm dokternya ,neg
126,sadness,"Andai ID-MY takyah guna pasport, malam ni sy dh sampai MY lagi. Itulah hidup selalu dihadapkan dengan pilihan. Mau tak mau salah satu harus direlakan.",neg
127,sadness,"Sebenernya teknik lumayan, tapi aneh bgt pas di inter.. passing sering salah, dribbling ga bagus, crossing gak bagus, keypass awal2 aja, selanjutnya ketebak.. what a waste of skill",neg
128,fear,"Kalo ada yang menganggap big is beauty, terus kami mikir, big is awal mula berbagai penyakit. Sah-sah aja lah. Kalo tersinggung, jangan-jangan emang ga yakin sama kepercayaannya? Mau setuju tapi udah terlanjur.",neg
129,happy,"Demi apa, kalau gue punya pc ban Agus, gue trade langsung nih sama si Mas",pos
130,happy,[USERNAME] selamat ultah kak renoo wkwkw semoga kita bisa dipertemukan lagi di satu kelompok (kalo sama reno gppa deh). semoga bahagia dan sejahtera selalu bersama dek oza hehehe,pos
131,happy,"Congratulations on your 1st Holly Communion, Xellent. Mommy,Papa, Ompung,Unty, Tulang, Bou, Uda Xaviera are so happy to be able to witness and accompany you on this special day. Semoga Xellent tumbuh mjd anak yang menyenangkan hati Tuhan menjadi Saluran Berkat bagi byk orang. [URL]",pos
132,sadness,Gapapaaaa... gue udah berusaha untuk sblm lebaran dari kapan tau tp dospem malah ke luar negri pas tgl tgl sidang :)) kering sudah air mata ini,neg
133,sadness,"Ini case yg kedua, sebelumnya sy sempat kena tipu dan account saldo gopay sy hangus, [USERNAME] perlu ada peningkatan security lg spy g kejadian terus seperti ini",neg
134,happy,"Yeeeaaayyy.. siap2 buat lebaran buat mamak klaten. Alhamdulillah.. (@ Swiss-Belboutique Yogyakarta in Gondokusuman, Daerah Istimewa Yogyakarta)",pos
